E_elc_Ry	kp3/2J1/2 6s[1/2]
0.200801	2.499103436
0.201601	2.498801253
0.202401	2.498516702
0.203201	2.498203911
0.204001	2.497925332
0.204801	2.497618561
0.205601	2.497316846
0.206401	2.497032565
0.207201	2.496736711
0.208001	2.496441722
0.208801	2.496151655
0.209601	2.495862417
0.210401	2.495561641
0.211201	2.495278082
0.212001	2.494982976
0.212801	2.494692674
0.213601	2.49438686
0.214401	2.494114409
0.215201	2.49381415
0.216001	2.493518623
0.216801	2.493236129
0.217601	2.492946029
0.218401	2.492640517
0.219201	2.492368023
0.220001	2.492067887
0.220801	2.491784569
0.221601	2.491501947
0.222401	2.491223853
0.223201	2.490918234
0.224001	2.490629327
0.224801	2.490357061
0.225601	2.490057335
0.226401	2.489774221
0.227201	2.489495516
0.228001	2.489213686
0.228801	2.488924117
0.229601	2.488635185
0.230401	2.488362699
0.231201	2.48806292
0.232001	2.487779559
0.232801	2.487500478
0.233601	2.487206245
0.234401	2.486928341
0.235201	2.486654652
0.236001	2.486365842
0.236801	2.486093274
0.237601	2.485809225
0.238401	2.485513716
0.239201	2.485234379
0.240001	2.484955579
0.240801	2.484677313
0.241601	2.48440313
0.242401	2.484129457
0.243201	2.483844312
0.244001	2.483559688
0.244801	2.483279089
0.245601	2.483010947
0.246401	2.482719377
0.247201	2.482455685
0.248001	2.482165103
0.248801	2.481890413
0.249601	2.481619635
0.250401	2.481333945
0.251201	2.481064076
0.252001	2.480782736
0.252801	2.480501851
0.253601	2.480236715
0.254401	2.479960102
0.255201	2.479683919
0.256001	2.479408167
0.256801	2.479136195
0.257601	2.478849411
0.258401	2.478578269
0.259201	2.478295664
0.260001	2.478040514
0.260801	2.477746858
0.261601	2.477480628
0.262401	2.477202929
0.263201	2.476940742
0.264001	2.476663812
0.264801	2.476402365
0.265601	2.476129444
0.266401	2.475856892
0.267201	2.475584709
0.268001	2.47530107
0.268801	2.475032831
0.269601	2.47476494
0.270401	2.474497397
0.271201	2.4742302
0.272001	2.473951542
0.272801	2.473688199
0.273601	2.473410233
0.274401	2.473147555
0.275201	2.472873408
0.276001	2.472599594
0.276801	2.47234101
0.277601	2.472067843
0.278401	2.471798102
0.279201	2.47154045
0.280001	2.471271327
0.280801	2.471002514
0.281601	2.47072224
0.282401	2.470468867
0.283201	2.470189207
0.284001	2.469924656
0.284801	2.469660394
0.285601	2.469396423
0.286401	2.469135748
0.287201	2.468860593
0.288001	2.468600471
0.288801	2.46834062
0.289601	2.468054574
0.290401	2.467809985
0.291201	2.467539204
0.292001	2.467268697
0.292801	2.46701314
0.293601	2.466746099
0.294401	2.466491048
0.295201	2.466224515
0.296001	2.465958237
0.296801	2.465680484
0.297601	2.465429333
0.298401	2.465166689
0.299201	2.464904283
0.300001	2.464642113
0.300801	2.464380179
0.301601	2.46410676
0.302401	2.463848139
0.303201	2.463601455
0.304001	2.463317013
0.304801	2.463059058
0.305601	2.462815844
0.306401	2.462546604
0.307201	2.462292087
0.308001	2.462023277
0.308801	2.461757463
0.309601	2.461503562
0.310401	2.461238153
0.311201	2.460987409
0.312001	2.460722397
0.312801	2.460472032
0.313601	2.460207416
0.314401	2.459945724
0.315201	2.459684217
0.316001	2.459422897
0.316801	2.459176166
0.317601	2.458915209
0.318401	2.45865712
0.319201	2.458396527
0.320001	2.458138785
0.320801	2.457881214
0.321601	2.457623812
0.322401	2.45736658
0.323201	2.457109517
0.324001	2.456855252
0.324801	2.45659852
0.325601	2.456344571
0.326401	2.456090776
0.327201	2.455837135
0.328001	2.455583648
0.328801	2.45531861
0.329601	2.455065429
0.330401	2.454812402
0.331201	2.454562091
0.332001	2.454297658
0.332801	2.454047631
0.333601	2.453783496
0.334401	2.453533753
0.335201	2.453284148
0.336001	2.453034681
0.336801	2.452773645
0.337601	2.452524454
0.338401	2.452263692
0.339201	2.452028975
0.340001	2.451768482
0.340801	2.451508125
0.341601	2.451262083
0.342401	2.451016165
0.343201	2.450744493
0.344001	2.450498827
0.344801	2.450253285
0.345601	2.449996152
0.346401	2.449739141
0.347201	2.449493967
0.348001	2.449251327
0.348801	2.448994675
0.349601	2.448738145
0.350401	2.448495845
0.351201	2.448253654
0.352001	2.447985755
0.352801	2.447743788
0.353601	2.447490207
0.354401	2.447248456
0.355201	2.44699509
0.356001	2.446741831
0.356801	2.446488679
